Latitude,Longitude,T_anomaly,P_anomaly,Veg_ID,Dist2Riv,Scale_Dist2Riv,Fig_code
-2.1949,-5.5,-2.1949,0.4388,5,1625.591,0.599970186818997,4.599970186819
-2.4598,-4.5,-2.4598,-0.2278,15,750.31992,0.276894180357805,5.2768941803578
-2.742,-4.5,-2.742,-0.1482,15,686.83419,0.253460621790243,5.25346062179024
-2.742,-4.5,-2.742,-0.1482,15,636.5224,0.234889766928782,5.23488976692878
-2.5918,-4.5,-2.5918,-0.0166,15,602.69287,0.222402767526426,5.22240276752643
-2.5426,-4.5,-2.5426,0.0263,15,588.19644,0.217051912437801,4.2170519124378
-2.8883,-4.5,-2.8883,0.0491,15,594.44917,0.219359891170379,4.21935989117038
-3.913,-4.5,-3.913,0.115,10,620.82446,0.229095416034808,6.22909541603481
-3.1895,-4.5,-3.1895,0.1265,10,659.16777,0.243248521001218,6.24324852100122
-1.2378,-4.5,-1.2378,0.089,10,712.63596,0.262984451609034,6.26298445160903
-0.5934,-4.5,-0.5934,0.0765,10,778.36588,0.287246375193456,6.28724637519346
-0.519,-4.5,-0.519,0.1219,10,853.52936,0.31499037074524,6.31499037074524
-1.4038,-4.5,-1.4038,0.0976,15,1042.6794,0.384808557295143,4.38480855729514
-1.7697,-4.5,-1.7697,0.0457,15,1103.2897,0.40718075046119,4.40718075046119
-1.8036,-4.5,-1.8036,0.1287,15,1170.6841,0.432057059192707,4.43205705919271
-1.904,-4.5,-1.904,0.3771,15,1244.1582,0.459177478624742,4.45917747862474
-1.904,-4.5,-1.904,0.3771,15,1322.8453,0.488222096468179,4.48822209646818
-1.9547,-4.5,-1.9547,0.3952,15,1403.7393,0.518081315016416,4.51808131501642
-1.9215,-4.5,-1.9215,0.3908,15,1483.5626,0.547545321740543,4.54754532174054
-2.1756,-4.5,-2.1756,0.3791,10,1567.1487,0.578398235769949,6.57839823576995
-2.4598,-3.5,-2.4598,-0.2278,15,703.52465,0.259621327068886,5.25962132706889
-2.742,-3.5,-2.742,-0.1482,15,633.99611,0.233957274466717,5.23395727446672
-2.742,-3.5,-2.742,-0.1482,15,577.60616,0.213142877342405,5.2131428773424
-2.5918,-3.5,-2.5918,-0.0166,15,538.49827,0.198707554148219,5.19870755414822
-2.5426,-3.5,-2.5426,0.0263,15,520.58202,0.192094390943101,4.1920943909431
-2.8883,-3.5,-2.8883,0.0491,15,526.02721,0.19410429425171,4.19410429425171
-3.913,-3.5,-3.913,0.115,10,553.07609,0.204088451536615,6.20408845153661
-3.1895,-3.5,-3.1895,0.1265,10,594.0451,0.219210742723785,6.21921074272379
-1.2378,-3.5,-1.2378,0.089,10,651.58068,0.240448009486704,6.2404480094867
-0.5934,-3.5,-0.5934,0.0765,10,721.73161,0.266341795802526,6.26634179580253
-0.519,-3.5,-0.519,0.1219,10,801.19096,0.295671462988607,6.29567146298861
-1.4038,-3.5,-1.4038,0.0976,15,973.79477,0.359382181769338,4.35938218176934
-1.7697,-3.5,-1.7697,0.0457,15,1037.0302,0.382723350760385,4.38272335076038
-1.8036,-3.5,-1.8036,0.1287,15,1107.2287,0.408634695894244,4.40863469589424
-1.904,-3.5,-1.904,0.3771,15,1183.667,0.436849247098978,4.43684924709898
-1.904,-3.5,-1.904,0.3771,15,1264.4797,0.466678456567828,4.46667845656783
-1.9547,-3.5,-1.9547,0.3952,15,1342.5201,0.495484367503025,4.49548436750302
-1.9215,-3.5,-1.9215,0.3908,15,1424.9087,0.525895265879707,4.52589526587971
-2.1756,-3.5,-2.1756,0.3791,10,1510.9343,0.557648636848422,6.55764863684842
-2.4598,-2.5,-2.4598,-0.2278,15,659.75691,0.243465981628898,5.2434659816289
-2.742,-2.5,-2.742,-0.1482,15,583.73169,0.215403904600221,5.21540390460022
-2.742,-2.5,-2.742,-0.1482,15,520.47414,0.192054570777242,5.19205457077724
-2.5918,-2.5,-2.5918,-0.0166,15,475.11172,0.175310604442818,5.17531060444282
-2.5426,-2.5,-2.5426,0.0263,15,453.05205,0.167168041241196,4.1671680412412
-2.8883,-2.5,-2.8883,0.0491,15,457.67713,0.168875229345667,4.16887522934567
-3.913,-2.5,-3.913,0.115,10,485.47137,0.17913451046098,6.17913451046098
-3.1895,-2.5,-3.1895,0.1265,10,530.27303,0.195671491661858,6.19567149166186
-1.2378,-2.5,-1.2378,0.089,10,592.77462,0.218741789031531,6.21874178903153
-0.5934,-2.5,-0.5934,0.0765,10,668.02637,0.246518366396815,6.24651836639682
-0.519,-2.5,-0.519,0.1219,10,752.21133,0.277592328855275,6.27759232885527
-1.4038,-2.5,-1.4038,0.0976,15,906.2829,0.334462513055587,4.33446251305559
-1.7697,-2.5,-1.7697,0.0457,15,972.33008,0.358841542181539,4.35884154218154
-1.8036,-2.5,-1.8036,0.1287,15,1045.8533,0.385980092560431,4.38598009256043
-1.904,-2.5,-1.904,0.3771,15,1125.5243,0.415387883014069,4.41538788301407
-1.904,-2.5,-1.904,0.3771,15,1202.614,0.443842875969271,4.44384287596927
-1.9547,-2.5,-1.9547,0.3952,15,1283.5226,0.473707483601875,4.47370748360188
-1.9215,-2.5,-1.9215,0.3908,15,1368.6347,0.50512366768227,4.50512366768227
-2.1756,-2.5,-2.1756,0.3791,10,1457.2138,0.537819574742202,6.5378195747422
-3.0577,-1.5,-3.0577,-0.1563,15,619.66825,0.228668641155612,5.22866864115561
-3.105,-1.5,-3.105,-0.1073,15,536.77577,0.198071752927494,5.19807175292749
-3.105,-1.5,-3.105,-0.1073,15,465.79657,0.171872239426134,5.17187223942613
-2.8062,-1.5,-2.8062,0.0065,15,412.9206,0.15235490632133,4.15235490632133
-2.7075,-1.5,-2.7075,0.0437,15,385.66716,0.142295242796825,4.14229524279683
-2.1507,-1.5,-2.1507,0.1047,15,389.45305,0.143692672975943,4.14369267297594
-2.7017,-1.5,-2.7017,0.1014,15,418.55795,0.154435738838981,4.15443573883898
-2.7017,-1.5,-2.7017,0.1014,15,468.41746,0.172839650201975,4.17283965020197
-1.5105,-1.5,-1.5105,0.091,15,536.96953,0.198143272721124,4.19814327272112
-1.1174,-1.5,-1.1174,0.0878,15,618.02492,0.228062062798542,4.22806206279854
-1.0671,-1.5,-1.0671,0.1107,15,694.57869,0.256319235754774,4.25631923575477
-0.9184,-1.5,-0.9184,0.1772,15,730.01698,0.269400053195942,4.26940005319594
-0.9184,-1.5,-0.9184,0.1772,15,779.38177,0.287621355804267,4.28762135580427
-1.5928,-1.5,-1.5928,0.1075,15,840.1349,0.310046269718271,4.31004626971827
-1.8154,-1.5,-1.8154,0.0846,15,909.7458,0.335740722662117,4.33574072266212
-1.8477,-1.5,-1.8477,0.1349,15,986.95617,0.364240256768729,4.36424025676873
-1.9437,-1.5,-1.9437,0.2847,5,1064.0631,0.392701609581715,4.39270160958171
-1.9437,-1.5,-1.9437,0.2847,5,1143.0967,0.421874125900032,4.42187412590003
-1.6627,-1.5,-1.6627,0.2119,20,1227.0762,0.45287224991506,6.45287224991506
-1.7697,-1.5,-1.7697,0.2227,15,1315.0544,0.48534635555059,4.48534635555059
-1.979,-1.5,-1.979,0.238,15,1406.2808,0.519019421723222,4.51901942172322
-4.0532,-0.5,-4.0532,-0.0386,15,584.02562,0.215512398680225,5.21551239868023
-3.7091,-0.5,-3.7091,-0.0395,15,494.08312,0.18231323972808,5.18231323972808
-3.7091,-0.5,-3.7091,-0.0395,15,414.55854,0.152959495146569,5.15295949514657
-3.1624,-0.5,-3.1624,0.0449,15,352.57322,0.130079760967737,4.13007976096774
-2.9828,-0.5,-2.9828,0.0725,15,318.5364,0.117516247640827,4.11751624764083
-2.1371,-0.5,-2.1371,0.1049,15,321.45212,0.118592484700504,4.1185924847005
-1.8893,-0.5,-1.8893,0.06,15,352.74532,0.130143285722504,4.1301432857225
-1.8893,-0.5,-1.8893,0.06,15,409.36189,0.151041331771427,4.15104133177143
-1.965,-0.5,-1.965,0.0956,15,485.21365,0.179039382048437,4.17903938204844
-1.9903,-0.5,-1.9903,0.1069,15,572.70816,0.211334950271803,4.2113349502718
-1.9807,-0.5,-1.9807,0.0919,15,620.56575,0.228999922198051,4.22899992219805
-1.9533,-0.5,-1.9533,0.0483,15,658.57037,0.243028011480602,4.2430280114806
-1.9533,-0.5,-1.9533,0.0483,15,711.53381,0.262577631106612,4.26257763110661
-1.9062,-0.5,-1.9062,0.1246,15,775.90562,0.286338255419115,4.28633825541911
-1.8905,-0.5,-1.8905,0.1501,15,849.75561,0.313597421626685,4.31359742162669
-1.9206,-0.5,-1.9206,0.1454,20,927.20339,0.342184587412723,6.34218458741272
-2.0093,-0.5,-2.0093,0.1316,10,1003.7866,0.370452627125379,6.37045262712538
-2.0093,-0.5,-2.0093,0.1316,10,1086.3232,0.400918154576468,6.40091815457647
-1.3469,-0.5,-1.3469,-0.0079,10,1173.5577,0.433117749113099,7.4331177491131
-2.2208,0.5,-2.2208,0.1205,15,251.88093,0.092912689327906,4.09291268932791
-2.1371,0.5,-2.1371,0.1049,15,253.87165,0.0936474946725341,4.09364749467253
-1.8893,0.5,-1.8893,0.06,15,288.80328,0.106541296121543,4.10654129612154
-1.8893,0.5,-1.8893,0.06,15,354.5217,0.130798974879237,4.13079897487924
-1.965,0.5,-1.965,0.0956,15,438.95249,0.161963676968518,4.16196367696852
-1.9903,0.5,-1.9903,0.1069,15,526.05083,0.194113012756694,4.19411301275669
-1.9807,0.5,-1.9807,0.0919,15,546.9568,0.201829727558693,4.20182972755869
-1.9533,0.5,-1.9533,0.0483,15,588.17946,0.217045644858859,4.21704564485886
-1.9533,0.5,-1.9533,0.0483,15,645.32722,0.238139761299908,4.23813976129991
