Trajectory,Latitude,Longitude,Date,Length,Speed,FST
1,30.5,40.5,45885.529,0,0,67
1,31.5,39.5,46222.134,81.9810244501531,1.50983506667207,67
1,32.5,39.5,46225.753,81.9810244501531,12.0666800780295,100
1,33.5,39.5,46238.832,271.676230593596,7.14429827737089,100
1,34.5,38.5,46255.035,83.279612323668,1.31347568487279,100
1,33.5,37.5,46260.065,139.306124633541,2.14842653002793,71
1,34.5,36.5,46423.705,84.5528329074335,1.36050770591865,71
1,35.5,36.5,46502.011,84.5528329074332,1.08317746486585,71
1,36.5,35.5,46623.424,139.306124633542,5.24634220741695,106
1,36.5,34.5,46780.127,138.535216729955,1.55911560103496,106
1,37.5,33.5,47610.095,237.466592539578,3.73586609621143,106
1,38.5,33.5,49450.993,763.05820483041,97.0318164840125,106
1,39.5,32.5,52148.819,83.2796123236675,7.73255453329953,106
1,39.5,31.5,52753.767,996.971095570311,20.1379824180491,106
1,40.5,30.5,54288.963,373.398885141933,3.03302617265672,106
1,41.5,30.5,54934.217,140.069048417268,22.6979498326399,106
1,41.5,29.5,54944.987,111.194926644559,0.590789880904497,106
1,42.5,28.5,55438.303,474.902407528177,2.30017052623303,88
1,42.5,27.5,55445.097,1123.45303307518,15.649811707903,88
1,42.5,26.5,55499.395,1228.92509984897,1.7450423008258,88
1,41.5,25.5,55400.276,111.194926644559,3.31460120560895,47
1,41.5,24.5,55336.872,1323.73916957163,1.66004628676006,47
1,40.5,23.5,55272.031,85.8002983283827,0.141830865344432,47
1,40.5,22.5,55209.883,1541.00594820869,43.3683040612546,47
1,40.5,21.5,55131.823,77.9370509826605,0.0354750329354313,47
1,39.5,20.5,54761.599,1746.48273386095,3.75314875179109,47
1,39.5,19.5,54567.214,111.194926644559,0.0604025462815207,47
1,40.5,19.5,54755.428,1994.08278489465,22.792382869785,47
1,40.5,20.5,54952.851,134.59009790269,0.730820511735201,47
1,41.5,20.5,55105.27,188.053464882682,0.601932887184662,47
1,42.5,19.5,55016.415,229.610806523761,8.81829658667167,47
1,42.5,18.5,54884.71,111.194926644559,3.47137008755499,47
1,43.5,17.5,54360.75,111.194926644559,2.77384006397486,50
1,43.5,16.5,53551.178,2205.07107816017,14.9250460472587,64
1,44.5,16.5,53584.725,2256.78771265346,14.4482497384947,50
1,45.5,15.5,52113.286,2335.93206438589,4625.60804831288,50
1,45.5,14.5,49916.331,143.025372092179,1.17800706754778,50
1,46.5,13.5,47026.027,2547.03982050212,34.9647176303737,50
1,46.5,12.5,47522.606,2602.60634704322,476.66782912887,64
1,47.5,11.5,47338.443,144.436028368311,0.882645003472939,46
1,46.5,10.5,46999.989,144.436028368311,28.7149161766093,46
1,45.5,10.5,46967.957,144.436028368311,8.91415345110775,64
1,44.5,10.5,46927.87,111.194926644559,8.50179116480731,64
1,43.5,9.5,46623.929,111.194926644559,30.725318221773,64
1,43.5,8.5,46429.165,3096.85721878205,55.8163260599109,64
1,43.5,7.5,46166.651,80.6574648857428,0.359501802404824,64
1,43.5,6.5,45942.292,3316.78079622391,58.4320912605742,43
1,42.5,5.5,45658.344,3370.88991312326,14.8376429479199,65
1,41.5,5.5,45584.97,111.194926644559,1.51545406608015,65
1,41.5,4.5,45383.016,83.2796123236679,0.412369214393717,65
1,41.5,3.5,45270.989,83.2796123236679,0.743388757385867,43
1,41.5,2.5,45096.48,83.2796123236679,0.477222448834552,43
1,40.5,1.5,44971.968,139.306124633542,1.11881685808226,97
1,39.5,2.5,44934.587,140.069048417268,3.74706531171621,97
1,39.5,1.5,44884.545,85.8002983283826,1.71456573135327,97
1,39.5,0.5,44818.581,85.8002983283826,1.30071400049091,97
1,38.5,-0.5,44744.157,140.823195827187,1.89217451127578,97
1,37.5,-1.5,44568.091,141.567795577828,0.804060952017024,97
1,36.5,-2.5,44328.453,142.30209740547,0.593821085994168,97
1,36.5,-3.5,44297.653,178.766397825483,42.7670808194905,97
1,36.5,-4.5,44324.273,89.3844032370607,3.3577912560876,97
1,36.5,-5.5,44198.182,178.766397825483,1.79717101291318,87
1,36.5,-6.5,44123.424,89.3844032370608,1.19565000718397,87
1,36.5,-7.5,44040.001,89.3844032370607,1.07145994794071,87
2,30.5,40.5,45885.529,0,0,67
2,31.5,40.5,45896.386,138.436633711576,2.12004217080756,62
2,32.5,40.5,45911.195,131.378677942717,8.1922228560669,100
2,33.5,40.5,45936.826,282.880470403793,5.57872621933424,100
2,34.5,40.5,45989.804,442.890498732673,51.337718642941,100
2,35.5,40.5,46109.577,111.194926644559,56.8190734005365,100
2,36.5,40.5,46398.694,222.389853289118,300.121259498753,100
2,37.5,40.5,47059.466,132.182408528882,29.439289204664,100
2,38.5,40.5,48147.401,234.271735356991,119.465443833063,5
2,39.5,40.5,49324.306,620.549579420085,113.716250580876,45
2,40.5,40.5,50249.854,842.473999535725,22769.5675570972,45
2,41.5,40.5,50888.789,135.388316970827,16.6796004645625,45
2,42.5,40.5,51266.423,533.384017093465,258.047419977145,45
2,43.5,40.5,51441.866,304.219217229704,18.5115746154121,45
2,44.5,40.5,51462.494,130.575997631312,0.939388908218755,45
2,45.5,40.5,51351.548,847.045258652012,25.4880768709418,45
2,46.5,40.5,51117.89,111.194926644559,32.6180482970285,45
2,47.5,40.5,50763.98,222.389853289117,612.644223928808,45
2,48.5,40.5,50292.508,111.194926644559,11.3522130316058,108
2,49.5,40.5,49709.099,72.2147981024756,1.33220429284913,108
2,50.5,40.5,49017.949,876.275482335808,9.78269902355374,108
2,50.5,40.5,49017.949,69.2199312463019,0.577241639880796,108
2,51.5,39.5,50839.497,1013.16800347822,49.9368132228302,108
2,52.5,38.5,51986.166,111.194926644559,8.58979734604569,108
2,52.5,37.5,53215.878,1053.65361045492,4.5120680135446,108
2,52.5,36.5,53920.85,1122.87305965125,16.9926310479906,108
2,52.5,35.5,54495.98,1194.63610172941,3.38022602556578,9
2,51.5,34.5,54915.479,1299.20496887448,10.2528881031162,108
2,51.5,33.5,55182.232,1366.37380924477,3.04712566789788,108
2,51.5,32.5,55302.147,1477.27055516641,3.70843660454372,108
2,51.5,31.5,55492.728,1544.13941003717,5.03603640372437,108
2,52.5,30.5,55631.729,1611.20612592303,1.36016462211343,9
2,51.5,29.5,55658.384,111.194926644559,2.88077221286959,9
2,50.5,29.5,55681.617,1636.25508214284,249.962585111872,108
2,51.5,28.5,55813.66,901.586909634482,1.72166338783529,9
2,50.5,27.5,55648.163,111.194926644559,5.39048510008606,108
2,51.5,26.5,55748.361,222.389853289118,2.4622982493979,9
2,50.5,25.5,55732.324,333.584779933676,3.91876393461,86
2,49.5,24.5,55665.802,444.779706578235,2.99448409833657,86
2,50.5,23.5,55670.292,555.974633222794,2.4267665057018,86
2,49.5,23.5,55672.99,1114.55154682026,22.6112056078145,86
2,48.5,23.5,55671.033,450.591978974091,5.96676217241273,88
2,47.5,23.5,55663.841,111.194926644558,0.23584629976872,88
2,46.5,23.5,55650.23,889.55941315647,20.8552401452718,88
2,45.5,22.5,55658.347,2260.57049785541,5.55351772710963,88
2,46.5,21.5,55456.086,1868.21638076554,13.9728830375198,50
2,47.5,21.5,55459.495,1111.94926644559,2.88973361377565,50
2,48.5,21.5,55455.723,1223.14419309015,3.99254527590413,50
2,49.5,21.5,55445.928,0,NaN,50
2,49.5,20.5,55391.721,1334.3391197347,1.53275766498194,50
2,49.5,19.5,55161.943,2445.83444417158,3.91461910574122,50
2,50.5,19.5,55148.998,341.772916496233,2.118050820492,86
2,50.5,18.5,54849.399,0,NaN,86
2,49.5,17.5,54369.264,111.194926644559,14.7005455637997,50
2,48.5,16.5,53522.496,111.194926644558,7.29769158263116,50
2,48.5,15.5,52031.311,2604.34121166456,9.33532589304699,50
2,49.5,15.5,51992.712,2705.21560724088,174.417511749873,50
2,49.5,14.5,49842.802,245.454538707108,20.5040964587048,46
2,49.5,13.5,47031.985,111.194926644559,4447.79706552346,46
