Variable,Trajectory,Pairwise_Distance
DistanceRivers,AFRICA-BERINGIA,-84.53
DistanceRivers,AFRICA-BERINGIA,-5.57
DistanceRivers,AFRICA-BERINGIA,36.495
DistanceRivers,AFRICA-FINLAND,-101.835
DistanceRivers,AFRICA-FINLAND,-57.75
DistanceRivers,AFRICA-FINLAND,37.9
DistanceRivers,AFRICA-FINLAND,-12.03
DistanceRivers,AFRICA-FINLAND,-95.91
DistanceRivers,AFRICA-FINLAND,-126.295
DistanceRivers,AFRICA-FINLAND,-82.21
DistanceRivers,AFRICA-FINLAND,13.44
DistanceRivers,AFRICA-FINLAND,-36.49
DistanceRivers,AFRICA-FINLAND,-120.37
DistanceRivers,AFRICA-JAPAN,246.5
DistanceRivers,AFRICA-JAPAN,114.5
DistanceRivers,AFRICA-JAPAN,36.5
DistanceRivers,AFRICA-JAPAN,216.5
DistanceRivers,AFRICA-JAPAN,117.5
DistanceRivers,AFRICA-JAPAN,77
DistanceRivers,AFRICA-JAPAN,24.5
DistanceRivers,AFRICA-JAPAN,-107.5
DistanceRivers,AFRICA-JAPAN,-185.5
DistanceRivers,AFRICA-JAPAN,-5.5
DistanceRivers,AFRICA-JAPAN,-104.5
DistanceRivers,AFRICA-JAPAN,-145
DistanceRivers,AFRICA-PORTUGAL,144
DistanceRivers,AFRICA-PORTUGAL,166
DistanceRivers,AFRICA-PORTUGAL,161
DistanceRivers,AFRICA-PORTUGAL,104.5
DistanceRivers,AFRICA-PORTUGAL,-36
DistanceRivers,AFRICA-PORTUGAL,-14
DistanceRivers,AFRICA-PORTUGAL,-19
DistanceRivers,AFRICA-PORTUGAL,-75.5
DistanceRivers,BERINGIA-MEXICO,250
DistanceRivers,BERINGIA-MEXICO,78
DistanceRivers,BERINGIA-MEXICO,115
DistanceRivers,BERINGIA-MEXICO,187.5
DistanceRivers,BERINGIA-MEXICO,84.5
DistanceRivers,BERINGIA-MEXICO,-171
DistanceRivers,BERINGIA-MEXICO,24
DistanceRivers,BERINGIA-MEXICO,-148
DistanceRivers,BERINGIA-MEXICO,-111
DistanceRivers,BERINGIA-MEXICO,-38.5
DistanceRivers,BERINGIA-MEXICO,-141.5
DistanceRivers,BERINGIA-MEXICO,-397
DistanceRivers,MEXICO-BRAZIL,-62.4
DistanceRivers,MEXICO-BRAZIL,-326.305
DistanceRivers,MEXICO-BRAZIL,-30.805
DistanceRivers,MEXICO-BRAZIL,-73.845
DistanceRivers,MEXICO-BRAZIL,35.735
DistanceRivers,MEXICO-BRAZIL,-228.17
DistanceRivers,MEXICO-BRAZIL,67.33
DistanceRivers,MEXICO-BRAZIL,24.29
DistanceRivers,MEXICO-CHILE,706.51
DistanceRivers,MEXICO-CHILE,779.745
DistanceRivers,MEXICO-CHILE,778.075
DistanceRivers,MEXICO-CHILE,370.82
DistanceRivers,MEXICO-CHILE,611.61
DistanceRivers,MEXICO-CHILE,-6.02
DistanceRivers,MEXICO-CHILE,67.215
DistanceRivers,MEXICO-CHILE,65.545
DistanceRivers,MEXICO-CHILE,-341.71
DistanceRivers,MEXICO-CHILE,-100.92
